	labeled_data_index	label
44	0	test
0	1	train
45	2	test
46	3	test
1	4	train
2	5	train
3	6	train
47	7	test
48	8	test
49	9	test
4	10	train
50	11	test
51	12	test
52	13	test
53	14	test
54	15	test
5	16	train
6	17	train
7	18	train
8	19	train
55	20	test
9	21	train
56	22	test
57	23	test
58	24	test
59	25	test
60	26	test
61	27	test
10	28	train
11	29	train
12	30	train
13	31	train
62	32	test
14	33	train
15	34	train
63	35	test
16	36	train
64	37	test
65	38	test
17	39	train
18	40	train
66	41	test
19	42	train
20	43	train
67	44	test
68	45	test
69	46	test
21	47	train
70	48	test
22	49	train
23	50	train
71	51	test
72	52	test
24	53	train
73	54	test
74	55	test
25	56	train
26	57	train
75	58	test
76	59	test
27	60	train
77	61	test
28	62	train
78	63	test
29	64	train
30	65	train
31	66	train
79	67	test
80	68	test
81	69	test
82	70	test
32	71	train
83	72	test
33	73	train
34	74	train
84	75	test
85	76	test
86	77	test
87	78	test
88	79	test
35	80	train
89	81	test
90	82	test
91	83	test
92	84	test
36	85	train
37	86	train
93	87	test
38	88	train
94	89	test
39	90	train
40	91	train
41	92	train
95	93	test
96	94	test
97	95	test
98	96	test
42	97	train
43	98	train
99	99	test
