,Treatments,oneb_Metadata_Treatment_Dose_Inhibitor_Dose,correlation
0,DMSO_0.100_DMSO_0.025,DMSO_0.100_DMSO_0.025,1.0
1,DMSO_0.100_DMSO_1.000,DMSO_0.100_DMSO_0.025,0.9568079546144642
2,DMSO_0.100_Z-VAD-FMK_100.000,DMSO_0.100_DMSO_0.025,0.9475384417852462
3,DMSO_0.100_Z-VAD-FMK_30.000,DMSO_0.100_DMSO_0.025,0.9606004910938724
4,Disulfiram_0.100_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.9957648353056232
5,Disulfiram_1.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.9943648018788264
6,Disulfiram_2.500_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.9936754482352749
7,Flagellin_0.100_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.9919000375877459
8,Flagellin_1.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.9926599523258939
9,Flagellin_1.000_Disulfiram_1.000,DMSO_0.100_DMSO_0.025,0.9922142533810487
10,H2O2_100.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.9938927028348044
11,H2O2_100.000_Disulfiram_1.000,DMSO_0.100_DMSO_0.025,0.9936950348191528
12,H2O2_100.000_Z-VAD-FMK_100.000,DMSO_0.100_DMSO_0.025,0.9936490960010048
13,LPS_0.010_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.9946415811146707
14,LPS_0.100_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.9948107678092164
15,LPS_1.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.9936718224582543
16,LPS_10.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.9937338336512579
17,LPS_10.000_Disulfiram_0.100,DMSO_0.100_DMSO_0.025,0.9933513456539638
18,LPS_10.000_Disulfiram_1.000,DMSO_0.100_DMSO_0.025,0.9938566906512007
19,LPS_10.000_Disulfiram_2.500,DMSO_0.100_DMSO_0.025,0.9935091436289618
20,LPS_10.000_Z-VAD-FMK_100.000,DMSO_0.100_DMSO_0.025,0.9941108030146041
21,LPS_100.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.9934292668489847
22,LPS_Nigericin_1.000_1.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.9945460708846009
23,LPS_Nigericin_1.000_10.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.993883482086208
24,LPS_Nigericin_1.000_10.000_Disulfiram_1.000,DMSO_0.100_DMSO_0.025,0.9939052254847041
25,LPS_Nigericin_1.000_10.000_Z-VAD-FMK_100.000,DMSO_0.100_DMSO_0.025,0.9936177559772844
26,LPS_Nigericin_1.000_3.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.9938052418181936
27,LPS_Nigericin_100.000_1.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.9936229672486931
28,LPS_Nigericin_100.000_10.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.9936047119632337
29,LPS_Nigericin_100.000_3.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.993680242292514
30,Thapsigargin_1.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.9940719092549469
31,Thapsigargin_10.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.9942455326142342
32,Topotecan_10.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.9945655134760133
33,Topotecan_20.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.9938681388097984
34,Topotecan_5.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.9939113164668116
35,media ctr_nan_Media ctr_nan,DMSO_0.100_DMSO_0.025,0.9937279899159658
36,DMSO_0.100_DMSO_0.025,DMSO_0.100_DMSO_1.000,0.9568079546144642
37,DMSO_0.100_DMSO_1.000,DMSO_0.100_DMSO_1.000,1.0
38,DMSO_0.100_Z-VAD-FMK_100.000,DMSO_0.100_DMSO_1.000,0.9507987274448431
39,DMSO_0.100_Z-VAD-FMK_30.000,DMSO_0.100_DMSO_1.000,0.9425051065416111
40,Disulfiram_0.100_DMSO_0.025,DMSO_0.100_DMSO_1.000,0.9448911704293784
41,Disulfiram_1.000_DMSO_0.025,DMSO_0.100_DMSO_1.000,0.9385405918660892
42,Disulfiram_2.500_DMSO_0.025,DMSO_0.100_DMSO_1.000,0.9366864128162673
43,Flagellin_0.100_DMSO_0.025,DMSO_0.100_DMSO_1.000,0.9336655442312995
44,Flagellin_1.000_DMSO_0.025,DMSO_0.100_DMSO_1.000,0.9336701379852479
45,Flagellin_1.000_Disulfiram_1.000,DMSO_0.100_DMSO_1.000,0.9333669557277633
46,H2O2_100.000_DMSO_0.025,DMSO_0.100_DMSO_1.000,0.9366843727631348
47,H2O2_100.000_Disulfiram_1.000,DMSO_0.100_DMSO_1.000,0.9363977805618304
48,H2O2_100.000_Z-VAD-FMK_100.000,DMSO_0.100_DMSO_1.000,0.9364560529859034
49,LPS_0.010_DMSO_0.025,DMSO_0.100_DMSO_1.000,0.9447026291245653
50,LPS_0.100_DMSO_0.025,DMSO_0.100_DMSO_1.000,0.941970246362464
51,LPS_1.000_DMSO_0.025,DMSO_0.100_DMSO_1.000,0.9363987131873132
52,LPS_10.000_DMSO_0.025,DMSO_0.100_DMSO_1.000,0.9360626519581979
53,LPS_10.000_Disulfiram_0.100,DMSO_0.100_DMSO_1.000,0.9348768274118233
54,LPS_10.000_Disulfiram_1.000,DMSO_0.100_DMSO_1.000,0.9365150269085684
55,LPS_10.000_Disulfiram_2.500,DMSO_0.100_DMSO_1.000,0.9356562770913636
56,LPS_10.000_Z-VAD-FMK_100.000,DMSO_0.100_DMSO_1.000,0.9372044102766164
57,LPS_100.000_DMSO_0.025,DMSO_0.100_DMSO_1.000,0.9350783330014468
58,LPS_Nigericin_1.000_1.000_DMSO_0.025,DMSO_0.100_DMSO_1.000,0.9395192649154085
59,LPS_Nigericin_1.000_10.000_DMSO_0.025,DMSO_0.100_DMSO_1.000,0.9371248006176954
60,LPS_Nigericin_1.000_10.000_Disulfiram_1.000,DMSO_0.100_DMSO_1.000,0.9386014906681481
61,LPS_Nigericin_1.000_10.000_Z-VAD-FMK_100.000,DMSO_0.100_DMSO_1.000,0.9382224667376193
62,LPS_Nigericin_1.000_3.000_DMSO_0.025,DMSO_0.100_DMSO_1.000,0.9368281566643646
63,LPS_Nigericin_100.000_1.000_DMSO_0.025,DMSO_0.100_DMSO_1.000,0.9361797445946747
64,LPS_Nigericin_100.000_10.000_DMSO_0.025,DMSO_0.100_DMSO_1.000,0.9362190248638802
65,LPS_Nigericin_100.000_3.000_DMSO_0.025,DMSO_0.100_DMSO_1.000,0.9360073031946979
66,Thapsigargin_1.000_DMSO_0.025,DMSO_0.100_DMSO_1.000,0.9380734302845617
67,Thapsigargin_10.000_DMSO_0.025,DMSO_0.100_DMSO_1.000,0.9380861724462225
68,Topotecan_10.000_DMSO_0.025,DMSO_0.100_DMSO_1.000,0.9389527862985378
69,Topotecan_20.000_DMSO_0.025,DMSO_0.100_DMSO_1.000,0.936753182904045
70,Topotecan_5.000_DMSO_0.025,DMSO_0.100_DMSO_1.000,0.936688456447228
71,media ctr_nan_Media ctr_nan,DMSO_0.100_DMSO_1.000,0.9367864074884013
72,DMSO_0.100_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.9475384417852462
73,DMSO_0.100_DMSO_1.000,DMSO_0.100_Z-VAD-FMK_100.000,0.9507987274448431
74,DMSO_0.100_Z-VAD-FMK_100.000,DMSO_0.100_Z-VAD-FMK_100.000,1.0
75,DMSO_0.100_Z-VAD-FMK_30.000,DMSO_0.100_Z-VAD-FMK_100.000,0.9427581818284797
76,Disulfiram_0.100_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.9309998646006279
77,Disulfiram_1.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.9246314802438231
78,Disulfiram_2.500_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.922529793427885
79,Flagellin_0.100_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.9196275291098713
80,Flagellin_1.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.9199204611729144
81,Flagellin_1.000_Disulfiram_1.000,DMSO_0.100_Z-VAD-FMK_100.000,0.9194003724732907
82,H2O2_100.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.9232278380963201
83,H2O2_100.000_Disulfiram_1.000,DMSO_0.100_Z-VAD-FMK_100.000,0.9225896058020255
84,H2O2_100.000_Z-VAD-FMK_100.000,DMSO_0.100_Z-VAD-FMK_100.000,0.922832003285194
85,LPS_0.010_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.933393909583314
86,LPS_0.100_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.9300222579985726
87,LPS_1.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.9231014839235792
88,LPS_10.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.9233258293628676
89,LPS_10.000_Disulfiram_0.100,DMSO_0.100_Z-VAD-FMK_100.000,0.9214059599442027
90,LPS_10.000_Disulfiram_1.000,DMSO_0.100_Z-VAD-FMK_100.000,0.9234225681086858
91,LPS_10.000_Disulfiram_2.500,DMSO_0.100_Z-VAD-FMK_100.000,0.9220297222226278
92,LPS_10.000_Z-VAD-FMK_100.000,DMSO_0.100_Z-VAD-FMK_100.000,0.923757448480985
93,LPS_100.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.9218270569160084
94,LPS_Nigericin_1.000_1.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.9273611533386547
95,LPS_Nigericin_1.000_10.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.9250088656491906
96,LPS_Nigericin_1.000_10.000_Disulfiram_1.000,DMSO_0.100_Z-VAD-FMK_100.000,0.9243294599758541
97,LPS_Nigericin_1.000_10.000_Z-VAD-FMK_100.000,DMSO_0.100_Z-VAD-FMK_100.000,0.9238577316806025
98,LPS_Nigericin_1.000_3.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.9233008459529395
99,LPS_Nigericin_100.000_1.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.9226679603718927
100,LPS_Nigericin_100.000_10.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.9227311082103735
101,LPS_Nigericin_100.000_3.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.9223655743141204
102,Thapsigargin_1.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.9243918340747286
103,Thapsigargin_10.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.925013599333792
104,Topotecan_10.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.9257765886026548
105,Topotecan_20.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.923293628264234
106,Topotecan_5.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_100.000,0.9235070879959814
107,media ctr_nan_Media ctr_nan,DMSO_0.100_Z-VAD-FMK_100.000,0.9228085844559489
108,DMSO_0.100_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_30.000,0.9606004910938724
109,DMSO_0.100_DMSO_1.000,DMSO_0.100_Z-VAD-FMK_30.000,0.9425051065416111
