,Treatments,oneb_Metadata_Treatment_Dose_Inhibitor_Dose,correlation
0,DMSO_0.100_DMSO_0.025,DMSO_0.100_DMSO_0.025,1.0
1,DMSO_0.100_DMSO_1.0,DMSO_0.100_DMSO_0.025,0.5244311851902492
2,DMSO_0.100_Z-VAD-FMK_100.0,DMSO_0.100_DMSO_0.025,-0.405607801574035
3,DMSO_0.100_Z-VAD-FMK_30.0,DMSO_0.100_DMSO_0.025,-0.46075038412639535
4,Disulfiram_0.100_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.7455679413353848
5,Disulfiram_1.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.8488655500108613
6,Disulfiram_2.500_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.7505414443614047
7,Disulfiram_2.5_DMSO_0.025,DMSO_0.100_DMSO_0.025,-0.059291048695925254
8,Flagellin_0.100_DMSO_0.00025,DMSO_0.100_DMSO_0.025,0.3681454589753768
9,Flagellin_0.100_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.045615284218190076
10,Flagellin_1.000_DMSO_0.00025,DMSO_0.100_DMSO_0.025,-0.10703002231756525
11,Flagellin_1.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,-0.11035072485971238
12,Flagellin_1.000_Disulfiram_1.0,DMSO_0.100_DMSO_0.025,-0.34834186432498
13,H2O2_100.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.8839122633481364
14,H2O2_100.000_Disulfiram_1.0,DMSO_0.100_DMSO_0.025,0.5518987332496879
15,H2O2_100.000_Z-VAD-FMK_100.0,DMSO_0.100_DMSO_0.025,-0.49080709891696794
16,LPS_0.010_DMSO_0.025,DMSO_0.100_DMSO_0.025,-0.23162863669628658
17,LPS_0.100_DMSO_0.025,DMSO_0.100_DMSO_0.025,-0.25742682114036936
18,LPS_1.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,-0.18471770139661547
19,LPS_10.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,-0.43012647029485307
20,LPS_10.000_Disulfiram_0.1,DMSO_0.100_DMSO_0.025,-0.28946326421394647
21,LPS_10.000_Disulfiram_1.0,DMSO_0.100_DMSO_0.025,-0.5658411515534423
22,LPS_10.000_Disulfiram_2.5,DMSO_0.100_DMSO_0.025,-0.4188030189609356
23,LPS_10.000_Z-VAD-FMK_100.0,DMSO_0.100_DMSO_0.025,-0.5031360222960028
24,LPS_100.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,-0.41396985976382966
25,LPS_Nigericin_1.000_1.0_DMSO_0.025,DMSO_0.100_DMSO_0.025,-0.25659150108334283
26,LPS_Nigericin_1.000_10.0_DMSO_0.025,DMSO_0.100_DMSO_0.025,-0.06529077326311385
27,LPS_Nigericin_1.000_10.0_Disulfiram_1.0,DMSO_0.100_DMSO_0.025,-0.438352880367339
28,LPS_Nigericin_1.000_10.0_Z-VAD-FMK_100.0,DMSO_0.100_DMSO_0.025,-0.420701403209134
29,LPS_Nigericin_1.000_3.0_DMSO_0.025,DMSO_0.100_DMSO_0.025,-0.061080248465388724
30,LPS_Nigericin_100.000_1.0_DMSO_0.025,DMSO_0.100_DMSO_0.025,-0.5745209191242076
31,LPS_Nigericin_100.000_10.0_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.12158133793625062
32,LPS_Nigericin_100.000_3.0_DMSO_0.025,DMSO_0.100_DMSO_0.025,-0.07739444402801782
33,Thapsigargin_1.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.24388603675426251
34,Thapsigargin_10.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.018326856145362343
35,Topotecan_10.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.32388020845701504
36,Topotecan_20.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.7799511822784294
37,Topotecan_5.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.5970898706652418
38,media ctr_0_Media ctr_0.0,DMSO_0.100_DMSO_0.025,0.8698221356729193
39,media ctr_0_Media_0.0,DMSO_0.100_DMSO_0.025,0.6237724026415908
40,DMSO_0.100_DMSO_0.025,DMSO_0.100_DMSO_1.0,0.5244311851902492
41,DMSO_0.100_DMSO_1.0,DMSO_0.100_DMSO_1.0,1.0
