feature	r2_score	Metadata_number_of_singlecells	DMSO 0.1%_0	LPS + Nigericin_1µg_per_ml + 1µM
Cytoplasm_Number_Object_Number	0.06120908675689196	0.0011058588808296422	-0.012346904814549007	0.012346904814549002
Cytoplasm_AreaShape_Area	0.004585410385594679	0.0002803398166742258	0.01769708130520873	-0.01769708130520872
Cytoplasm_AreaShape_BoundingBoxArea	0.002446507786573071	0.00021447236767979465	0.005968813289738983	-0.005968813289738978
Cytoplasm_AreaShape_BoundingBoxMaximum_X	0.00017803371992541894	2.7066972008253547e-05	0.011923225911024675	-0.01192322591102467
Cytoplasm_AreaShape_BoundingBoxMaximum_Y	0.002603775304973577	0.00021527665144489112	-0.012231579309373866	0.012231579309373857
Cytoplasm_AreaShape_BoundingBoxMinimum_X	0.00014679272225404105	1.2164034209552086e-05	0.011862336122443942	-0.011862336122443935
Cytoplasm_AreaShape_BoundingBoxMinimum_Y	0.0022460419126481	0.00019822406435051655	-0.012610681697192466	0.012610681697192457
Cytoplasm_AreaShape_Center_X	0.00015930770910599357	1.9814816933436494e-05	0.011867346204318143	-0.011867346204318136
Cytoplasm_AreaShape_Center_Y	0.0024373820927628964	0.0002073950601662254	-0.012488496813295752	0.012488496813295745
Cytoplasm_AreaShape_Compactness	0.0030508962642135096	-0.00025151964196627437	-0.005782173748492813	0.005782173748492808
Cytoplasm_AreaShape_ConvexArea	0.0036638154927851607	0.00026161319945686607	0.008895892409290231	-0.008895892409290227
Cytoplasm_AreaShape_Eccentricity	0.0008813841291985813	-0.00010959051626317687	-0.016337399410848972	0.016337399410848965
Cytoplasm_AreaShape_EquivalentDiameter	0.008313288671297103	0.00039519767454399967	0.01562914587033119	-0.015629145870331183
Cytoplasm_AreaShape_EulerNumber	7.605488387707471e-05	3.3723338529661865e-05	0.00996510424295701	-0.009965104242957002
Cytoplasm_AreaShape_Extent	0.008727241280261033	0.0004054509661932396	0.024516035703598914	-0.024516035703598903
Cytoplasm_AreaShape_FormFactor	0.002104555012217846	0.00018594010466879704	0.01591925117950065	-0.01591925117950064
Cytoplasm_AreaShape_MajorAxisLength	0.0040472943309441956	0.0002820568282377264	-0.0015252179431958445	0.0015252179431958436
Cytoplasm_AreaShape_MaxFeretDiameter	0.0033248946752203468	0.0002540790905343397	0.0013360284263709407	-0.00133602842637094
Cytoplasm_AreaShape_MaximumRadius	0.0035341938884972945	0.00025020180539994403	0.015358990445900503	-0.015358990445900493
Cytoplasm_AreaShape_MeanRadius	0.0036376281557051193	0.00024844638441170677	0.018631769601840827	-0.018631769601840816
Cytoplasm_AreaShape_MedianRadius	0.004426537556087351	0.0002731339661569086	0.02061181926784633	-0.020611819267846315
Cytoplasm_AreaShape_MinFeretDiameter	0.00798762873223069	0.00039216981553941426	0.013373273657224925	-0.013373273657224918
Cytoplasm_AreaShape_MinorAxisLength	0.011170917695404459	0.00046092603091358794	0.02017363810571384	-0.020173638105713827
Cytoplasm_AreaShape_Orientation	4.8068318297289636e-05	2.8535838239844463e-05	-0.0023934837181197534	0.0023934837181197525
Cytoplasm_AreaShape_Perimeter	0.007881658769723021	0.0003913109213835121	0.009685255200803489	-0.009685255200803482
