feature	r2_score	Metadata_number_of_singlecells	ATP_1mM	DMSO 0.1%_0
Cytoplasm_Number_Object_Number	0.032260013746872374	0.0007483492314162108	-0.023710614820909283	0.02371061482090907
Cytoplasm_AreaShape_Area	0.002114365947500585	0.00022408865649615567	0.016300511307092685	-0.01630051130709254
Cytoplasm_AreaShape_BoundingBoxArea	0.0011449406803837325	0.00016328538663737106	0.005683137711614491	-0.0056831377116144405
Cytoplasm_AreaShape_BoundingBoxMaximum_X	0.000720748024535478	-8.926888246008114e-05	-0.025683416062038333	0.025683416062038104
Cytoplasm_AreaShape_BoundingBoxMaximum_Y	0.0014564892343660318	-0.00018190371918803817	-0.010670745668327439	0.010670745668327344
Cytoplasm_AreaShape_BoundingBoxMinimum_X	0.0007713610202593202	-9.840630502201839e-05	-0.025694612284165773	0.02569461228416554
Cytoplasm_AreaShape_BoundingBoxMinimum_Y	0.0016782156483174937	-0.0001952468688667764	-0.011185869320139721	0.01118586932013962
Cytoplasm_AreaShape_Center_X	0.0007484563830317814	-9.40097987419669e-05	-0.02575427858204985	0.02575427858204962
Cytoplasm_AreaShape_Center_Y	0.0015620974593010262	-0.0001883570600419183	-0.01085197641822132	0.010851976418221223
Cytoplasm_AreaShape_Compactness	0.0021564291428752824	-0.00016068049984608603	-0.048535593358921256	0.04853559335892082
Cytoplasm_AreaShape_ConvexArea	0.0016314760646680693	0.00019589971074077377	0.007511761848065559	-0.007511761848065491
Cytoplasm_AreaShape_Eccentricity	0.0006987112990133326	-0.00011911051602306499	-0.01792879047152237	0.017928790471522207
Cytoplasm_AreaShape_EquivalentDiameter	0.003445541729600432	0.0002897638414629914	0.016154378810932676	-0.016154378810932533
Cytoplasm_AreaShape_EulerNumber	7.757992322943164e-05	2.7750755909770573e-05	0.009129986760530086	-0.009129986760530005
Cytoplasm_AreaShape_Extent	0.0031642257037877153	0.00028037264641033035	0.027637515321502028	-0.02763751532150178
Cytoplasm_AreaShape_FormFactor	0.003463040956189767	0.00020713886142295594	0.05583397396585181	-0.055833973965851304
Cytoplasm_AreaShape_MajorAxisLength	0.0019014726005057714	0.00020129408170623442	-0.0006817717424630644	0.0006817717424630582
Cytoplasm_AreaShape_MaxFeretDiameter	0.001393457866046166	0.00017705814262766867	0.0026080395666991433	-0.00260803956669912
Cytoplasm_AreaShape_MaximumRadius	0.0016145471933726174	0.00019239973961675472	0.023272063619434208	-0.023272063619433996
Cytoplasm_AreaShape_MeanRadius	0.002158203832071881	0.0002155212820044743	0.031181423180740096	-0.031181423180739812
Cytoplasm_AreaShape_MedianRadius	0.002798559925187072	0.00024586351355467803	0.03506582772096794	-0.03506582772096763
Cytoplasm_AreaShape_MinFeretDiameter	0.00360371443794405	0.00029229350544491574	0.012200136327681268	-0.012200136327681159
Cytoplasm_AreaShape_MinorAxisLength	0.005525782205801022	0.0003590552625905218	0.015722095554491354	-0.015722095554491212
Cytoplasm_AreaShape_Orientation	2.762878894280174e-05	2.399406051821256e-05	0.0033240415441268224	-0.003324041544126793
Cytoplasm_AreaShape_Perimeter	0.0033176389216202917	0.00023346853755117357	-0.016926487532011387	0.016926487532011234
Cytoplasm_AreaShape_Solidity	0.003140802574788548	0.00028280833478809824	0.03187596207820257	-0.031875962078202286
Cytoplasm_AreaShape_Zernike_0_0	0.0031616283269064738	0.00027770456337160315	0.025757108849239582	-0.02575710884923935
Cytoplasm_AreaShape_Zernike_1_1	4.926283019424105e-05	3.072067898518261e-05	0.005156718165466725	-0.005156718165466678
Cytoplasm_AreaShape_Zernike_2_0	0.0012096469329401227	0.00013065169556173223	0.031244214430361975	-0.031244214430361694
Cytoplasm_AreaShape_Zernike_2_2	0.00045532591126973276	0.0001008177482665343	0.002800279581344145	-0.0028002795813441197
Cytoplasm_AreaShape_Zernike_3_1	0.0003233554273616157	5.6701626692048805e-05	0.017551234964384276	-0.01755123496438412
Cytoplasm_AreaShape_Zernike_3_3	0.000236813885594378	7.381677878176035e-05	0.005479322541038309	-0.005479322541038259
Cytoplasm_AreaShape_Zernike_4_0	0.00032810324720122797	7.357243392364672e-05	-0.004524198886948447	0.004524198886948406
Cytoplasm_AreaShape_Zernike_4_2	0.00038521910238475954	9.187756420870362e-05	0.010932414547618102	-0.010932414547618003
Cytoplasm_AreaShape_Zernike_4_4	0.00014086461270090833	3.1038668225988435e-05	-0.007909996523799165	0.007909996523799093
Cytoplasm_AreaShape_Zernike_5_1	0.0009735079279908909	0.0001492860861176939	0.010148063009070965	-0.010148063009070875
Cytoplasm_AreaShape_Zernike_5_3	0.00011234723809661062	4.468834677782501e-05	-0.0019894951315333836	0.0019894951315333653
Cytoplasm_AreaShape_Zernike_5_5	7.858565250995486e-05	1.4639934722011777e-05	-0.007334021829952629	0.007334021829952563
Cytoplasm_AreaShape_Zernike_6_0	0.0004028017094618308	9.56416938283552e-05	0.00838682467220369	-0.008386824672203615
Cytoplasm_AreaShape_Zernike_6_2	0.00029259002009707213	8.077459066276201e-05	0.0029055520481552884	-0.0029055520481552624
Cytoplasm_AreaShape_Zernike_6_4	9.260563709634351e-05	3.88363212854337e-05	-0.0023771857597584046	0.0023771857597583834
Cytoplasm_AreaShape_Zernike_6_6	8.845867937490315e-05	-1.977981626309021e-05	-0.009970562739770124	0.009970562739770036
Cytoplasm_AreaShape_Zernike_7_1	0.00043895898309631587	8.601048080358257e-05	-0.004759020186692907	0.004759020186692864
Cytoplasm_AreaShape_Zernike_7_3	0.0002678726669114173	4.500174907432497e-05	-0.010337667315756307	0.010337667315756213
Cytoplasm_AreaShape_Zernike_7_5	0.00013899570458575372	-2.874008319503065e-05	-0.012267789611510042	0.012267789611509932
Cytoplasm_AreaShape_Zernike_7_7	0.00011740745396315866	4.844215075525989e-05	-0.0003787038899329759	0.0003787038899329725
Cytoplasm_AreaShape_Zernike_8_0	0.0002097641811426021	5.398742837068449e-05	-0.005189866508138331	0.0051898665081382845
Cytoplasm_AreaShape_Zernike_8_2	0.0001842462598520278	5.453445287978554e-05	-0.0036462739849512874	0.0036462739849512545
