feature	r2_score	Metadata_number_of_singlecells	DMSO 0.1%_0	LPS + Nigericin_1µg_per_ml + 10µM
Cytoplasm_Number_Object_Number	0.04349784877784779	0.0005467274472505894	0.08382920805290417	-0.08382920805290514
Cytoplasm_AreaShape_Area	0.0036474330249073317	0.00028291242778384255	-0.016682345681582552	0.016682345681582746
Cytoplasm_AreaShape_BoundingBoxArea	0.0015033081938756743	0.00019528313090259257	-0.017190618355746323	0.01719061835574652
Cytoplasm_AreaShape_BoundingBoxMaximum_X	8.102000594090164e-05	-4.467109383270158e-06	0.00974934637453687	-0.009749346374536984
Cytoplasm_AreaShape_BoundingBoxMaximum_Y	0.0029359029109685686	-0.00025087128233834997	0.023084416585563962	-0.023084416585564232
Cytoplasm_AreaShape_BoundingBoxMinimum_X	7.346675936314995e-05	-1.7790329225927456e-05	0.010367457249361488	-0.010367457249361608
Cytoplasm_AreaShape_BoundingBoxMinimum_Y	0.003303915210932873	-0.0002649964996891719	0.023467845313070973	-0.023467845313071247
Cytoplasm_AreaShape_Center_X	7.597300771877702e-05	-1.111657893332018e-05	0.01011951191842156	-0.010119511918421678
Cytoplasm_AreaShape_Center_Y	0.0031126330866997343	-0.0002577162143355637	0.023237854570177394	-0.023237854570177664
Cytoplasm_AreaShape_Compactness	0.006450840007662384	-0.0004277266201438594	0.05456662354476911	-0.05456662354476975
Cytoplasm_AreaShape_ConvexArea	0.002288258415494293	0.0002227562837920979	-0.008841279266708526	0.008841279266708628
Cytoplasm_AreaShape_Eccentricity	0.00036235358444103305	-6.394378365602998e-05	-0.005016217563754155	0.005016217563754214
Cytoplasm_AreaShape_EquivalentDiameter	0.007284529453762123	0.00038025029991537314	-0.009692693169134667	0.009692693169134778
Cytoplasm_AreaShape_EulerNumber	7.259097922629465e-05	3.3087731102477546e-05	-0.009918519804356955	0.00991851980435707
Cytoplasm_AreaShape_Extent	0.011221920402876395	0.0004621727809890619	-0.004816306099333213	0.004816306099333268
Cytoplasm_AreaShape_FormFactor	0.005463954193266063	0.0003538888695052973	-0.05826264434026383	0.058262644340264506
Cytoplasm_AreaShape_MajorAxisLength	0.00225146743844995	0.0002191452267235714	-0.00895101459429656	0.008951014594296664
Cytoplasm_AreaShape_MaxFeretDiameter	0.002261545220363592	0.00022618720754336935	-0.012548064026393444	0.01254806402639359
Cytoplasm_AreaShape_MaximumRadius	0.003943799403159476	0.00030226832730779503	-0.023325229972878295	0.023325229972878565
Cytoplasm_AreaShape_MeanRadius	0.004397871296050404	0.00032237297938682454	-0.02973789477582682	0.02973789477582717
Cytoplasm_AreaShape_MedianRadius	0.005112252704715381	0.0003462074354642233	-0.03210256697543584	0.03210256697543622
Cytoplasm_AreaShape_MinFeretDiameter	0.005816852635469494	0.0003074669452970115	0.005586361300825083	-0.005586361300825148
Cytoplasm_AreaShape_MinorAxisLength	0.008310583251964987	0.0003560980437780677	0.008594717502531482	-0.008594717502531582
Cytoplasm_AreaShape_Orientation	6.797285917459206e-07	-2.113464420094035e-06	0.0010067004716836307	-0.0010067004716836424
Cytoplasm_AreaShape_Perimeter	0.007040398683989646	0.0002848276081485758	0.026998675789933778	-0.02699867578993409
Cytoplasm_AreaShape_Solidity	0.012128860463882729	0.0005410387185253778	-0.028238057043488578	0.028238057043488907
Cytoplasm_AreaShape_Zernike_0_0	0.009720551156873425	0.00040912020075514104	0.0014830451502437867	-0.001483045150243804
Cytoplasm_AreaShape_Zernike_1_1	0.0014870323468211266	0.0001422388247612551	0.005642086684749852	-0.0056420866847499175
Cytoplasm_AreaShape_Zernike_2_0	0.0026127901275957433	0.000246445812619804	-0.0320544560011098	0.032054456001110176
Cytoplasm_AreaShape_Zernike_2_2	0.002234562860223277	0.0001846475215707264	0.0024594748289805423	-0.002459474828980571
Cytoplasm_AreaShape_Zernike_3_1	0.001079623499355642	0.00013797355243825568	-0.0029441342124640413	0.0029441342124640756
Cytoplasm_AreaShape_Zernike_3_3	0.0009635503866392003	0.00011233036676814723	0.004696889367005999	-0.004696889367006053
Cytoplasm_AreaShape_Zernike_4_0	0.0020968764409586838	0.00011056109796437961	0.024437075254269733	-0.024437075254270017
Cytoplasm_AreaShape_Zernike_4_2	0.0012755594922434499	0.0001518158662108605	-0.004842978965084254	0.004842978965084311
Cytoplasm_AreaShape_Zernike_4_4	0.0009105619711147206	9.372561316436412e-05	0.010653712937223033	-0.010653712937223158
Cytoplasm_AreaShape_Zernike_5_1	0.0028217381958202115	0.0002237177064916592	-0.0051952997304335015	0.005195299730433562
Cytoplasm_AreaShape_Zernike_5_3	0.00023312151377707924	4.9667366799960716e-05	0.004566509758184183	-0.004566509758184236
Cytoplasm_AreaShape_Zernike_5_5	0.0007531100059469109	0.00010649992862148243	0.001672031426821596	-0.0016720314268216152
Cytoplasm_AreaShape_Zernike_6_0	0.0012282978804407652	0.00011455847083043289	0.00955069291768834	-0.00955069291768845
Cytoplasm_AreaShape_Zernike_6_2	0.0020230603857767093	0.000159724342651809	0.008117111870289902	-0.008117111870289996
Cytoplasm_AreaShape_Zernike_6_4	0.00011783389702757496	4.903271915074073e-05	-0.0034945102989681395	0.0034945102989681802
Cytoplasm_AreaShape_Zernike_6_6	0.0003779611278162953	4.969983972347817e-05	0.01007826064675643	-0.010078260646756548
Cytoplasm_AreaShape_Zernike_7_1	0.002719357760821106	0.00019417011890201672	0.006305563459469064	-0.0063055634594691365
Cytoplasm_AreaShape_Zernike_7_3	0.0005154757274966615	5.6303040131312274e-05	0.01192565745306524	-0.011925657453065381
Cytoplasm_AreaShape_Zernike_7_5	0.0003034239507689884	5.452388713063096e-05	0.005969228786255934	-0.005969228786256003
Cytoplasm_AreaShape_Zernike_7_7	0.00047578948867366133	7.455651876248292e-05	0.005180485722127738	-0.005180485722127798
Cytoplasm_AreaShape_Zernike_8_0	0.0008277388607987879	8.874135437197713e-05	0.009591084183573392	-0.009591084183573505
Cytoplasm_AreaShape_Zernike_8_2	0.001541295265642173	0.00012544484061644803	0.012131063592653119	-0.012131063592653259
Cytoplasm_AreaShape_Zernike_8_4	0.00042038597885984963	3.422664115495543e-05	0.014604743249183386	-0.014604743249183556
Cytoplasm_AreaShape_Zernike_8_6	0.0003288178061191527	-6.171930682215335e-05	-0.004252978962949136	0.004252978962949186
Cytoplasm_AreaShape_Zernike_8_8	0.0002474527371192359	-1.348956765276362e-05	0.0177272634364882	-0.017727263436488408
Cytoplasm_AreaShape_Zernike_9_1	0.000796922384063703	7.942753979437903e-05	0.012028579743650281	-0.012028579743650422
Cytoplasm_AreaShape_Zernike_9_3	0.000475178759821393	6.802334716077609e-05	0.007450489311928607	-0.007450489311928693
Cytoplasm_AreaShape_Zernike_9_5	0.0002052218428242325	-7.790620963530541e-06	0.015558316719823821	-0.015558316719824003
Cytoplasm_AreaShape_Zernike_9_7	5.90815887725471e-05	-2.4516391728594926e-06	0.008179302020702234	-0.00817930202070233
Cytoplasm_AreaShape_Zernike_9_9	0.0002560814905475661	4.611163622133206e-05	0.0066616999313620345	-0.006661699931362112
Cytoplasm_Correlation_Correlation_CorrDNA_CorrER	0.004141357018782044	0.0003213349025568918	-0.04261090515634335	0.042610905156343845
Cytoplasm_Correlation_Correlation_CorrDNA_CorrGasdermin	0.010721692179847087	0.0005320214801271121	-0.0676876698394026	0.06768766983940337
Cytoplasm_Correlation_Correlation_CorrDNA_CorrMito	0.006471257976900957	0.00039629352263668516	-0.03648316307097538	0.0364831630709758
Cytoplasm_Correlation_Correlation_CorrDNA_CorrPM	0.0027721630220958193	0.0002445851768617953	-0.05321338636029756	0.05321338636029818
Cytoplasm_Correlation_Correlation_CorrDNA_CorrRNA	0.005217104690814378	0.0003599139713690099	-0.03829851264598098	0.03829851264598143
Cytoplasm_Correlation_Correlation_CorrER_CorrGasdermin	0.00042603832000320807	-9.249330511748855e-05	0.010769244523065019	-0.010769244523065144
Cytoplasm_Correlation_Correlation_CorrER_CorrMito	0.0003530879386174357	-8.194622048273757e-05	0.010373867820232998	-0.01037386782023312
