feature	r2_score	Metadata_number_of_singlecells	Metadata_inducer1	Metadata_inducer1_concentration	treatment	dose
Cytoplasm_AreaShape_Area	0.0007464152590243023	-6.099208360141317e-05	0.010457935192076299	-0.010457935192076296	media ctr	0.0_0.1
Cytoplasm_AreaShape_BoundingBoxArea	0.0019352920687466524	-0.00010233207965675359	0.015759343978839775	-0.01575934397883977	media ctr	0.0_0.1
Cytoplasm_AreaShape_BoundingBoxMaximum_X	5.440804787815168e-05	-9.940426429575863e-06	-0.008807620336010995	0.008807620336010994	media ctr	0.0_0.1
Cytoplasm_AreaShape_BoundingBoxMaximum_Y	0.00013437944451522021	-2.102888559356656e-05	0.007403242927958423	-0.00740324292795842	media ctr	0.0_0.1
Cytoplasm_AreaShape_BoundingBoxMinimum_X	6.688500725882118e-05	-4.389590028830755e-06	-0.010163178925183015	0.010163178925183012	media ctr	0.0_0.1
Cytoplasm_AreaShape_BoundingBoxMinimum_Y	7.584969126372965e-05	-1.4565676733423853e-05	0.0062287868914849935	-0.006228786891484992	media ctr	0.0_0.1
Cytoplasm_AreaShape_Center_X	5.9000648667928424e-05	-7.18109301706481e-06	-0.009504583284767	0.009504583284766997	media ctr	0.0_0.1
Cytoplasm_AreaShape_Center_Y	0.00010342768839544103	-1.78995569494412e-05	0.006801320249041263	-0.00680132024904126	media ctr	0.0_0.1
Cytoplasm_AreaShape_Compactness	0.0007284577441597495	-3.9474925762555796e-05	-0.02958365641936235	0.029583656419362343	media ctr	0.0_0.1
Cytoplasm_AreaShape_ConvexArea	0.0017257130123317088	-9.50532040744841e-05	0.016069945556097313	-0.01606994555609731	media ctr	0.0_0.1
Cytoplasm_AreaShape_Eccentricity	0.0002749860868257459	-2.733588063546211e-05	0.01194818431355624	-0.011948184313556237	media ctr	0.0_0.1
Cytoplasm_AreaShape_EquivalentDiameter	0.0011041391662205413	-6.31193900987477e-05	0.019112876776209875	-0.019112876776209868	media ctr	0.0_0.1
Cytoplasm_AreaShape_EulerNumber	1.206777083229138e-05	1.0753355224336657e-05	-0.0004887651403397833	0.000488765140339783	media ctr	0.0_0.1
Cytoplasm_AreaShape_Extent	0.0001942485626463819	2.70758887849641e-05	0.014039998000771655	-0.014039998000771648	media ctr	0.0_0.1
Cytoplasm_AreaShape_FormFactor	0.0001763691410209267	2.291568007717215e-05	0.014837086162818907	-0.014837086162818902	media ctr	0.0_0.1
Cytoplasm_AreaShape_MajorAxisLength	0.0020535794076317337	-9.747339448878689e-05	0.020106983058871944	-0.02010698305887194	media ctr	0.0_0.1
Cytoplasm_AreaShape_MaxFeretDiameter	0.0024317379034441977	-0.00010814802684226564	0.019746551635151145	-0.019746551635151138	media ctr	0.0_0.1
Cytoplasm_AreaShape_MaximumRadius	0.0005610846896568766	-4.1857591277181665e-05	0.015582526029618762	-0.015582526029618756	media ctr	0.0_0.1
Cytoplasm_AreaShape_MeanRadius	0.000452426005370099	-3.6592198435636824e-05	0.014594160201731536	-0.014594160201731531	media ctr	0.0_0.1
Cytoplasm_AreaShape_MedianRadius	0.0004145410587123033	-3.4594787256824856e-05	0.014187468740221757	-0.014187468740221754	media ctr	0.0_0.1
Cytoplasm_AreaShape_MinFeretDiameter	0.0012992056100687988	-7.35890186319237e-05	0.018844887493992726	-0.018844887493992723	media ctr	0.0_0.1
Cytoplasm_AreaShape_MinorAxisLength	0.0006540122426887951	-5.091860091154796e-05	0.014362465622077363	-0.014362465622077358	media ctr	0.0_0.1
Cytoplasm_AreaShape_Orientation	7.928379547172959e-05	-1.8107403516776153e-05	0.004404634575462896	-0.004404634575462895	media ctr	0.0_0.1
Cytoplasm_AreaShape_Perimeter	0.0020724494526509485	-9.897043270094762e-05	0.019570488121141632	-0.01957048812114163	media ctr	0.0_0.1
Cytoplasm_AreaShape_Solidity	0.00024627571126700776	2.012218475839815e-05	0.018171144208789416	-0.018171144208789413	media ctr	0.0_0.1
Cytoplasm_AreaShape_Zernike_0_0	0.0002847745315308625	3.946529517395307e-05	0.013306519852996003	-0.013306519852995998	media ctr	0.0_0.1
Cytoplasm_AreaShape_Zernike_1_1	0.00022874328433974966	3.775244553574472e-05	0.009211514272897842	-0.009211514272897839	media ctr	0.0_0.1
Cytoplasm_AreaShape_Zernike_2_0	0.0003732522096805413	-4.7892529082946706e-05	0.0006751159159925964	-0.0006751159159925963	media ctr	0.0_0.1
Cytoplasm_AreaShape_Zernike_2_2	0.00024748099774785093	3.10262606383695e-05	0.01593989115909712	-0.01593989115909711	media ctr	0.0_0.1
Cytoplasm_AreaShape_Zernike_3_1	0.0002511331617432999	4.0610955483400434e-05	0.005804672280482835	-0.0058046722804828334	media ctr	0.0_0.1
Cytoplasm_AreaShape_Zernike_3_3	0.00020785698353253945	3.579529914746896e-05	0.008989473045704638	-0.008989473045704636	media ctr	0.0_0.1
Cytoplasm_AreaShape_Zernike_4_0	0.0005102338723711464	5.798681940534668e-05	0.0064207381606678614	-0.00642073816066786	media ctr	0.0_0.1
Cytoplasm_AreaShape_Zernike_4_2	0.00019320614821305426	9.870058369318031e-06	0.01738095859669189	-0.017380958596691885	media ctr	0.0_0.1
Cytoplasm_AreaShape_Zernike_4_4	0.00017053479720952058	2.2717897452532844e-05	0.014432700461032497	-0.01443270046103249	media ctr	0.0_0.1
Cytoplasm_AreaShape_Zernike_5_1	0.0005149905159697044	5.115270286559692e-05	0.019380934962237327	-0.01938093496223732	media ctr	0.0_0.1
Cytoplasm_AreaShape_Zernike_5_3	6.12093423912885e-05	1.0400516974524294e-05	0.009333313517313294	-0.009333313517313292	media ctr	0.0_0.1
Cytoplasm_AreaShape_Zernike_5_5	0.00028857667249881924	4.089332053570428e-05	0.01234755193609775	-0.012347551936097746	media ctr	0.0_0.1
Cytoplasm_AreaShape_Zernike_6_0	3.953212675245066e-05	1.275277407444088e-05	0.00630978214030813	-0.006309782140308128	media ctr	0.0_0.1
Cytoplasm_AreaShape_Zernike_6_2	0.00017494675807006033	2.7973225184740634e-05	0.012535229338479236	-0.012535229338479233	media ctr	0.0_0.1
Cytoplasm_AreaShape_Zernike_6_4	0.00014004933357114613	-7.481655442986945e-06	0.012996527383612066	-0.012996527383612061	media ctr	0.0_0.1
