features,p.adj.value,group,Distinct
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_9_9,0.0169,apoptosis_healthy,True
Cells_Intensity_MassDisplacement_CorrMito,0.0034,apoptosis_healthy,True
Cytoplasm_Texture_DifferenceVariance_CorrER_3_01_256,0.0116,apoptosis_healthy,True
Nuclei_Texture_AngularSecondMoment_CorrER_3_03_256,0.004,apoptosis_healthy,True
Cytoplasm_Intensity_MinIntensity_CorrMito,0.0037,apoptosis_healthy,True
Cytoplasm_Correlation_Overlap_CorrDNA_CorrMito,0.0033,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_5_5,0.0137,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrER_8_0,0.0065,apoptosis_healthy,True
Cytoplasm_Texture_DifferenceVariance_CorrGasdermin_3_03_256,0.0113,apoptosis_healthy,True
Cytoplasm_RadialDistribution_RadialCV_CorrDNA_4of4,0.0162,apoptosis_healthy,True
Nuclei_RadialDistribution_RadialCV_CorrER_2of4,0.0315,apoptosis_healthy,True
Cytoplasm_Correlation_Correlation_CorrDNA_CorrPM,0.0259,apoptosis_healthy,True
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_7_1,0.0177,apoptosis_healthy,True
Cytoplasm_Texture_AngularSecondMoment_CorrER_3_03_256,0.0211,apoptosis_healthy,True
Nuclei_Texture_AngularSecondMoment_CorrPM_3_03_256,0.0049,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_6_6,0.0106,apoptosis_healthy,True
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_7_3,0.0091,apoptosis_healthy,True
Nuclei_RadialDistribution_ZernikeMagnitude_CorrER_6_0,0.0148,apoptosis_healthy,True
Cytoplasm_RadialDistribution_RadialCV_CorrMito_4of4,0.0105,apoptosis_healthy,True
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_6_2,0.02,apoptosis_healthy,True
Nuclei_RadialDistribution_ZernikeMagnitude_CorrER_4_0,0.0339,apoptosis_healthy,True
Cytoplasm_Texture_SumEntropy_CorrER_3_00_256,0.0096,apoptosis_healthy,True
Cells_Intensity_MassDisplacement_CorrER,0.0086,apoptosis_healthy,True
Nuclei_Texture_InfoMeas2_CorrPM_3_01_256,0.0229,apoptosis_healthy,True
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_4_4,0.0402,apoptosis_healthy,True
Cytoplasm_RadialDistribution_RadialCV_CorrGasdermin_4of4,0.0202,apoptosis_healthy,True
Cells_Intensity_MaxIntensityEdge_CorrDNA,0.0337,apoptosis_healthy,True
