labeled_data_index	label
12950	train
1512	train
2309	train
3485	train
3017	train
18708	train
900	train
14301	train
5097	train
6549	train
18861	train
7741	train
2452	train
6247	train
18236	train
10244	train
10446	train
1667	train
3283	train
15596	train
7802	train
11658	train
11971	train
9654	train
16915	train
10346	train
5103	train
15283	train
10595	train
14101	train
11821	train
8830	train
7434	train
6467	train
16501	train
990	train
15291	train
16633	train
11231	train
6900	train
18130	train
17650	train
14891	train
11488	train
14066	train
11753	train
7312	train
9590	train
682	train
11728	train
9221	train
1987	train
7858	train
16266	train
16677	train
16604	train
7013	train
15484	train
13259	train
12265	train
16004	train
1906	train
16399	train
7790	train
16029	train
14293	train
15408	train
10532	train
7176	train
6419	train
2027	train
5960	train
643	train
10360	train
8561	train
9961	train
2178	train
3229	train
18179	train
159	train
3046	train
16981	train
6080	train
11883	train
2229	train
1146	train
7514	train
16872	train
5646	train
2629	train
7424	train
17662	train
14955	train
6932	train
16799	train
5162	train
8680	train
11546	train
747	train
345	train
6309	train
9874	train
14706	train
6565	train
16553	train
16783	train
17688	train
9055	train
7780	train
1601	train
6126	train
10589	train
17923	train
17425	train
16280	train
14259	train
7365	train
7710	train
2244	train
6456	train
14495	train
5835	train
11903	train
5681	train
15008	train
17879	train
12808	train
17471	train
14539	train
9897	train
8710	train
13383	train
7370	train
16400	train
15721	train
16590	train
16114	train
14162	train
2356	train
6026	train
14884	train
18979	train
12694	train
1174	train
9683	train
2557	train
16826	train
7978	train
14103	train
16189	train
1084	train
5367	train
1792	train
16463	train
12816	train
9941	train
10212	train
7813	train
17369	train
199	train
718	train
16082	train
12304	train
5605	train
10520	train
17209	train
1348	train
6877	train
503	train
18001	train
15888	train
3069	train
17960	train
17583	train
640	train
17390	train
12246	train
247	train
9191	train
8888	train
10798	train
1244	train
12446	train
17088	train
6427	train
1978	train
14459	train
15454	train
7857	train
18700	train
7957	train
6335	train
15947	train
17311	train
382	train
15753	train
11945	train
10843	train
2820	train
1773	train
947	train
12525	train
13456	train
17029	train
2795	train
16279	train
9041	train
17831	train
18713	train
9809	train
3358	train
9699	train
13078	train
3124	train
15073	train
6541	train
1314	train
15580	train
13021	train
14981	train
11585	train
14042	train
2482	train
1562	train
1797	train
5994	train
7658	train
5302	train
6421	train
1173	train
9843	train
7362	train
11924	train
12897	train
14046	train
18242	train
9821	train
10836	train
18217	train
10553	train
5185	train
9566	train
10500	train
512	train
11060	train
12079	train
228	train
452	train
15614	train
18438	train
7544	train
16249	train
909	train
15171	train
16848	train
15027	train
7475	train
2759	train
15589	train
17814	train
2569	train
17798	train
10023	train
16196	train
9476	train
1404	train
9357	train
5193	train
9470	train
17765	train
13297	train
11426	train
9637	train
11279	train
5723	train
17237	train
12991	train
16478	train
16201	train
9468	train
3498	train
5561	train
18110	train
17864	train
10671	train
6633	train
15042	train
16220	train
5522	train
166	train
2219	train
11334	train
256	train
5513	train
2081	train
12746	train
3466	train
3273	train
14931	train
12629	train
264	train
13091	train
16649	train
5600	train
5443	train
15086	train
10173	train
5122	train
6729	train
2141	train
12416	train
1311	train
1867	train
7933	train
5303	train
924	train
3008	train
2647	train
15818	train
1983	train
2973	train
6679	train
14141	train
13350	train
14892	train
79	train
901	train
10048	train
15098	train
16206	train
14927	train
11878	train
16115	train
5354	train
848	train
1817	train
8717	train
18030	train
8743	train
15613	train
5822	train
13276	train
2595	train
14497	train
9208	train
9681	train
14753	train
9802	train
5239	train
10814	train
1606	train
11093	train
15794	train
14786	train
14196	train
2848	train
17472	train
2033	train
11648	train
11285	train
9844	train
15540	train
14252	train
7589	train
8963	train
16240	train
737	train
398	train
1579	train
731	train
810	train
12131	train
374	train
10891	train
13197	train
18706	train
12471	train
12470	train
17935	train
6548	train
7272	train
7742	train
66	train
10578	train
6352	train
15275	train
31	train
8536	train
10758	train
15361	train
9256	train
1028	train
18820	train
18694	train
14096	train
6496	train
406	train
10246	train
5222	train
3361	train
15158	train
11634	train
9153	train
11681	train
10914	train
951	train
11984	train
9540	train
11353	train
17094	train
3050	train
3329	train
10198	train
13052	train
9632	train
16797	train
9913	train
796	train
16365	train
14605	train
9147	train
13255	train
9326	train
14296	train
2922	train
7526	train
14089	train
17834	train
11531	train
323	train
18210	train
18164	train
10709	train
7876	train
15284	train
529	train
6788	train
1315	train
6781	train
353	train
9506	train
8901	train
2186	train
2532	train
9413	train
1770	train
10970	train
13046	train
16087	train
12025	train
5344	train
18338	train
10939	train
5382	train
16388	train
17710	train
1761	train
16507	train
5305	train
15058	train
1585	train
1296	train
5316	train
113	train
9022	train
7301	train
14499	train
15201	train
14556	train
12360	train
18425	train
11837	train
2346	train
6573	train
12031	train
5362	train
18513	train
11748	train
18149	train
14496	train
131	train
3421	train
2703	train
1466	train
9118	train
9723	train
760	train
2318	train
10918	train
467	train
627	train
2321	train
12009	train
14731	train
17702	train
9904	train
10909	train
9873	train
11476	train
6617	train
2988	train
9608	train
10605	train
619	train
8647	train
13421	train
10041	train
9039	train
16782	train
17087	train
10154	train
1012	train
