	labeled_data_index	label
522	0	test
523	1	test
524	3	test
113	5	train
525	6	test
526	9	test
3594	10	holdout
3595	11	holdout
527	13	test
528	14	test
529	15	test
3596	16	holdout
530	17	test
531	18	test
532	20	test
454	22	train
3597	23	holdout
533	24	test
3598	25	holdout
534	26	test
535	28	test
3599	30	holdout
536	31	test
537	34	test
3600	35	holdout
538	36	test
175	37	train
539	38	test
540	39	test
541	41	test
542	42	test
543	43	test
3601	44	holdout
109	45	train
3602	46	holdout
3603	47	holdout
544	48	test
545	49	test
546	51	test
547	52	test
548	56	test
549	57	test
550	58	test
551	59	test
47	60	train
552	62	test
553	63	test
554	67	test
555	68	test
556	74	test
557	75	test
441	76	train
558	78	test
559	79	test
3604	80	holdout
560	81	test
3605	82	holdout
561	84	test
562	87	test
563	88	test
564	89	test
565	90	test
566	91	test
567	93	test
3606	94	holdout
568	95	test
408	96	train
569	97	test
570	98	test
3607	100	holdout
3608	101	holdout
571	102	test
572	103	test
3609	106	holdout
573	107	test
225	111	train
3610	113	holdout
574	116	test
575	117	test
505	118	train
576	119	test
577	120	test
578	122	test
3611	123	holdout
579	124	test
374	125	train
438	127	train
3612	132	holdout
580	133	test
3613	134	holdout
581	135	test
283	136	train
582	139	test
583	140	test
584	141	test
3614	142	holdout
519	143	train
585	144	test
3615	145	holdout
197	146	train
3616	148	holdout
3617	150	holdout
586	151	test
587	152	test
588	153	test
3618	154	holdout
589	156	test
3619	157	holdout
590	159	test
591	161	test
592	163	test
463	164	train
593	166	test
594	167	test
3620	168	holdout
595	169	test
3621	170	holdout
324	172	train
596	173	test
3622	175	holdout
597	177	test
598	178	test
599	179	test
600	181	test
601	182	test
435	184	train
602	187	test
3623	189	holdout
603	191	test
604	193	test
605	195	test
3624	198	holdout
606	199	test
607	200	test
608	201	test
609	202	test
610	203	test
611	205	test
237	206	train
188	207	train
612	208	test
613	209	test
614	210	test
615	211	test
616	213	test
3625	215	holdout
3626	216	holdout
617	220	test
618	222	test
619	225	test
620	226	test
3627	227	holdout
216	228	train
105	229	train
621	230	test
622	231	test
623	232	test
3628	233	holdout
3629	234	holdout
386	235	train
624	236	test
3630	237	holdout
625	238	test
626	239	test
627	240	test
628	241	test
629	242	test
3631	243	holdout
482	245	train
630	246	test
631	247	test
632	248	test
3632	250	holdout
633	251	test
634	252	test
635	253	test
636	254	test
3633	255	holdout
3634	257	holdout
637	260	test
638	261	test
124	262	train
639	263	test
3635	265	holdout
3636	268	holdout
3637	273	holdout
640	274	test
641	275	test
101	276	train
338	277	train
642	280	test
3638	282	holdout
643	283	test
3639	284	holdout
3640	285	holdout
644	286	test
645	287	test
646	289	test
3641	290	holdout
647	292	test
648	296	test
3642	297	holdout
649	298	test
650	301	test
651	303	test
3643	305	holdout
3644	307	holdout
652	308	test
3645	309	holdout
653	310	test
