,Treatments,oneb_Metadata_Treatment_Dose_Inhibitor_Dose,correlation
0,DMSO_0.100_DMSO_0.025,DMSO_0.100_DMSO_0.025,1.0
1,DMSO_0.100_DMSO_1.0,DMSO_0.100_DMSO_0.025,0.5264334995806877
2,DMSO_0.100_Z-VAD-FMK_100.0,DMSO_0.100_DMSO_0.025,-0.4407825103068781
3,DMSO_0.100_Z-VAD-FMK_30.0,DMSO_0.100_DMSO_0.025,-0.449894648845555
4,Disulfiram_0.100_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.6889588728426522
5,Disulfiram_1.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.7792809299678528
6,Disulfiram_2.500_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.6142003768706842
7,Disulfiram_2.5_DMSO_0.025,DMSO_0.100_DMSO_0.025,-0.12630910524415087
8,Flagellin_0.100_DMSO_0.00025,DMSO_0.100_DMSO_0.025,0.30171376590545723
9,Flagellin_0.100_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.0405231866098465
10,Flagellin_1.000_DMSO_0.00025,DMSO_0.100_DMSO_0.025,-0.16775225285009232
11,Flagellin_1.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,-0.08228155548479806
12,Flagellin_1.000_Disulfiram_1.0,DMSO_0.100_DMSO_0.025,-0.3944761475720559
13,H2O2_100.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.8433195416834822
14,H2O2_100.000_Disulfiram_1.0,DMSO_0.100_DMSO_0.025,0.4643512224639447
15,H2O2_100.000_Z-VAD-FMK_100.0,DMSO_0.100_DMSO_0.025,-0.5485011586913344
16,LPS_0.010_DMSO_0.025,DMSO_0.100_DMSO_0.025,-0.27352381412325166
17,LPS_0.100_DMSO_0.025,DMSO_0.100_DMSO_0.025,-0.2862362791932384
18,LPS_1.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,-0.2452340365764865
19,LPS_10.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,-0.46239265429937637
20,LPS_10.000_Disulfiram_0.1,DMSO_0.100_DMSO_0.025,-0.415126179480152
21,LPS_10.000_Disulfiram_1.0,DMSO_0.100_DMSO_0.025,-0.6136480349043495
22,LPS_10.000_Disulfiram_2.5,DMSO_0.100_DMSO_0.025,-0.4672670057020478
23,LPS_10.000_Z-VAD-FMK_100.0,DMSO_0.100_DMSO_0.025,-0.5348812892202885
24,LPS_100.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,-0.4746541300753225
25,LPS_Nigericin_1.000_1.0_DMSO_0.025,DMSO_0.100_DMSO_0.025,-0.292201904569412
26,LPS_Nigericin_1.000_10.0_DMSO_0.025,DMSO_0.100_DMSO_0.025,-0.03430743803784466
27,LPS_Nigericin_1.000_10.0_Disulfiram_1.0,DMSO_0.100_DMSO_0.025,-0.5216006490980849
28,LPS_Nigericin_1.000_10.0_Z-VAD-FMK_100.0,DMSO_0.100_DMSO_0.025,-0.4091998456817256
29,LPS_Nigericin_1.000_3.0_DMSO_0.025,DMSO_0.100_DMSO_0.025,-0.0489019414757308
30,LPS_Nigericin_100.000_1.0_DMSO_0.025,DMSO_0.100_DMSO_0.025,-0.5833529960311554
31,LPS_Nigericin_100.000_10.0_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.12503062495098313
32,LPS_Nigericin_100.000_3.0_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.0019054074905418433
33,Thapsigargin_1.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.2060871453221348
