oneb_Treatment_Dose_Inhibitor_Dose,Cytokine,Cytokine_Value
DMSO_0.100_%_DMSO_1.000_%,plate_barcode,430420
DMSO_0.100_%_Z-VAD-FMK_100.000_uM,plate_barcode,430420
DMSO_0.100_%_Z-VAD-FMK_30.000_uM,plate_barcode,430420
DMSO_0.100_%_Z-VAD-FMK_100.000_uM,plate_barcode,430420
DMSO_0.100_%_Z-VAD-FMK_30.000_uM,plate_barcode,430420
DMSO_0.100_%_DMSO_1.000_%,plate_barcode,430420
DMSO_0.100_%_DMSO_1.000_%,plate_barcode,430420
DMSO_0.100_%_Z-VAD-FMK_100.000_uM,plate_barcode,430420
DMSO_0.100_%_Z-VAD-FMK_30.000_uM,plate_barcode,430420
DMSO_0.100_%_Z-VAD-FMK_100.000_uM,plate_barcode,430420
DMSO_0.100_%_Z-VAD-FMK_30.000_uM,plate_barcode,430420
DMSO_0.100_%_DMSO_1.000_%,plate_barcode,430420
DMSO_0.100_%_DMSO_0.025_%,plate_barcode,430420
DMSO_0.100_%_DMSO_0.025_%,plate_barcode,430420
DMSO_0.100_%_DMSO_0.025_%,plate_barcode,430420
DMSO_0.100_%_DMSO_0.025_%,plate_barcode,430420
DMSO_0.100_%_DMSO_0.025_%,plate_barcode,430420
DMSO_0.100_%_DMSO_0.025_%,plate_barcode,430420
DMSO_0.100_%_DMSO_0.025_%,plate_barcode,430420
DMSO_0.100_%_DMSO_0.025_%,plate_barcode,430420
media_ctr_0.0_0_Media_ctr_0.0_0,plate_barcode,430420
media_ctr_0.0_0_Media_ctr_0.0_0,plate_barcode,430420
LPS_0.010_ug_per_ml_DMSO_0.025_%,plate_barcode,430420
LPS_0.010_ug_per_ml_DMSO_0.025_%,plate_barcode,430420
LPS_0.010_ug_per_ml_DMSO_0.025_%,plate_barcode,430420
LPS_0.010_ug_per_ml_DMSO_0.025_%,plate_barcode,430420
LPS_0.100_ug_per_ml_DMSO_0.025_%,plate_barcode,430420
LPS_0.100_ug_per_ml_DMSO_0.025_%,plate_barcode,430420
Flagellin_0.100_ug_per_ml_DMSO_0.025_%,plate_barcode,430420
Flagellin_0.100_ug_per_ml_DMSO_0.025_%,plate_barcode,430420
LPS_0.100_ug_per_ml_DMSO_0.025_%,plate_barcode,430420
LPS_0.100_ug_per_ml_DMSO_0.025_%,plate_barcode,430420
Flagellin_0.100_ug_per_ml_DMSO_0.025_%,plate_barcode,430420
Flagellin_0.100_ug_per_ml_DMSO_0.025_%,plate_barcode,430420
Disulfiram_0.100_uM_DMSO_0.025_%,plate_barcode,430420
Disulfiram_0.100_uM_DMSO_0.025_%,plate_barcode,430420
Disulfiram_0.100_uM_DMSO_0.025_%,plate_barcode,430420
Disulfiram_0.100_uM_DMSO_0.025_%,plate_barcode,430420
LPS_Nigericin_1.000_ug_per_ml_1.000_uM_DMSO_0.025_%,plate_barcode,430420
LPS_Nigericin_1.000_ug_per_ml_1.000_uM_DMSO_0.025_%,plate_barcode,430420
LPS_Nigericin_1.000_ug_per_ml_1.000_uM_DMSO_0.025_%,plate_barcode,430420
LPS_Nigericin_1.000_ug_per_ml_1.000_uM_DMSO_0.025_%,plate_barcode,430420
LPS_Nigericin_1.000_ug_per_ml_10.000_uM_DMSO_0.025_%,plate_barcode,430420
LPS_Nigericin_1.000_ug_per_ml_10.000_uM_Disulfiram_1.000_uM,plate_barcode,430420
LPS_Nigericin_1.000_ug_per_ml_10.000_uM_Z-VAD-FMK_100.000_uM,plate_barcode,430420
LPS_Nigericin_1.000_ug_per_ml_10.000_uM_DMSO_0.025_%,plate_barcode,430420
LPS_Nigericin_1.000_ug_per_ml_10.000_uM_Disulfiram_1.000_uM,plate_barcode,430420
LPS_Nigericin_1.000_ug_per_ml_10.000_uM_Z-VAD-FMK_100.000_uM,plate_barcode,430420
LPS_Nigericin_1.000_ug_per_ml_10.000_uM_DMSO_0.025_%,plate_barcode,430420
LPS_Nigericin_1.000_ug_per_ml_10.000_uM_Disulfiram_1.000_uM,plate_barcode,430420
LPS_Nigericin_1.000_ug_per_ml_10.000_uM_Z-VAD-FMK_100.000_uM,plate_barcode,430420
LPS_Nigericin_1.000_ug_per_ml_10.000_uM_DMSO_0.025_%,plate_barcode,430420
LPS_Nigericin_1.000_ug_per_ml_10.000_uM_Disulfiram_1.000_uM,plate_barcode,430420
LPS_Nigericin_1.000_ug_per_ml_10.000_uM_Z-VAD-FMK_100.000_uM,plate_barcode,430420
LPS_Nigericin_1.000_ug_per_ml_3.000_uM_DMSO_0.025_%,plate_barcode,430420
LPS_Nigericin_1.000_ug_per_ml_3.000_uM_DMSO_0.025_%,plate_barcode,430420
LPS_Nigericin_1.000_ug_per_ml_3.000_uM_DMSO_0.025_%,plate_barcode,430420
LPS_Nigericin_1.000_ug_per_ml_3.000_uM_DMSO_0.025_%,plate_barcode,430420
LPS_1.000_ug_per_ml_DMSO_0.025_%,plate_barcode,430420
LPS_1.000_ug_per_ml_DMSO_0.025_%,plate_barcode,430420
