	labeled_data_index	label
153	0	test
142	1	test
119	2	test
60	3	train
151	4	test
11	5	train
34	6	train
50	7	train
64	8	train
51	9	train
139	10	test
79	11	train
49	12	train
52	13	train
20	14	train
101	15	train
42	16	train
45	17	train
129	18	test
65	19	train
136	20	test
4	21	train
137	22	test
111	23	train
22	24	train
17	25	train
53	26	train
113	27	train
126	28	test
144	29	test
91	30	train
70	31	train
7	32	train
24	33	train
13	34	train
94	35	train
109	36	train
86	37	train
99	38	train
152	39	test
88	40	train
122	41	test
58	42	train
97	43	train
110	44	train
89	45	train
100	46	train
76	47	train
39	48	train
135	49	test
41	50	train
6	51	train
130	52	test
38	53	train
95	54	train
92	55	train
43	56	train
71	57	train
87	58	train
55	59	train
59	60	train
85	61	train
141	62	test
32	63	train
93	64	train
138	65	test
14	66	train
118	67	test
61	68	train
127	69	test
25	70	train
68	71	train
123	72	test
16	73	train
29	74	train
115	75	test
44	76	train
81	77	train
98	78	train
2	79	train
5	80	train
120	81	test
21	82	train
46	83	train
0	84	train
103	85	train
28	86	train
1	87	train
33	88	train
54	89	train
9	90	train
104	91	train
150	92	test
36	93	train
66	94	train
69	95	train
102	96	train
23	97	train
132	98	test
47	99	train
149	100	test
108	101	train
146	102	test
19	103	train
31	104	train
140	105	test
62	106	train
26	107	train
96	108	train
80	109	train
82	110	train
75	111	train
133	112	test
116	113	test
90	114	train
121	115	test
83	116	train
105	117	train
67	118	train
74	119	train
8	120	train
73	121	train
125	122	test
114	123	train
78	124	train
3	125	train
57	126	train
48	127	train
124	128	test
27	129	train
18	130	train
134	131	test
143	132	test
145	133	test
112	134	train
15	135	train
131	136	test
40	137	train
35	138	train
30	139	train
10	140	train
37	141	train
148	142	test
147	143	test
107	144	train
77	145	train
84	146	train
106	147	train
117	148	test
56	149	train
63	150	train
128	151	test
12	152	train
72	153	train
