	labeled_data_index	label
153	0	test
79	3765	train
137	7993	test
24	12001	train
110	15506	train
92	19502	train
14	23725	train
142	27315	test
49	31596	train
111	35856	train
13	39159	train
89	42557	train
43	47085	train
118	51166	test
119	55934	test
52	60448	train
22	64564	train
94	68266	train
100	71384	train
71	75623	train
61	80700	train
60	84972	train
20	88969	train
17	93196	train
109	97540	train
76	101886	train
87	106114	train
127	110467	test
151	114370	test
101	118172	train
53	122501	train
86	126524	train
39	130652	train
55	134880	train
25	138876	train
11	142907	train
42	146343	train
113	150449	train
99	153953	train
135	157992	test
59	162107	train
68	166594	train
34	171182	train
45	175035	train
126	178841	test
152	182168	test
41	185618	train
85	189957	train
123	194545	test
50	198701	train
129	202425	test
144	206870	test
88	211038	train
6	215206	train
141	219334	test
16	222915	train
64	226411	train
65	230747	train
91	235256	train
122	239179	test
130	243347	test
32	247079	train
29	251316	train
51	254530	train
136	258389	test
70	262930	train
58	266294	train
38	270412	train
93	274492	train
115	278893	test
139	283075	test
4	286617	train
7	290890	train
97	294372	train
95	298743	train
138	302719	test
44	306849	train
81	307024	train
33	310827	train
47	315487	train
82	319909	train
73	324685	train
143	328983	test
147	332934	test
98	336238	train
54	341075	train
149	345551	test
75	348976	train
125	352322	test
145	356669	test
107	360507	train
2	365358	train
9	370078	train
108	374517	train
133	377853	test
114	381203	train
112	385597	train
77	389682	train
5	393745	train
104	398127	train
146	402230	test
116	406442	test
78	410171	train
15	414027	train
84	417320	train
120	421192	test
150	425261	test
19	429397	train
90	433422	train
3	436692	train
131	439919	test
106	443223	train
21	446835	train
36	449226	train
31	452112	train
121	455894	test
57	459881	train
40	463955	train
117	467284	test
46	471836	train
66	474197	train
140	477258	test
83	480806	train
48	484443	train
35	488136	train
56	491224	train
0	495105	train
69	499111	train
62	502733	train
105	506729	train
124	509991	test
30	513826	train
63	516877	train
103	520202	train
102	524488	train
26	528614	train
67	532599	train
27	535990	train
10	539474	train
128	542239	test
28	545886	train
23	548843	train
96	551913	train
74	555963	train
18	560098	train
37	564115	train
12	567620	train
1	575750	train
132	578079	test
80	580823	train
8	584190	train
134	587359	test
148	591384	test
72	594347	train
