[NbConvertApp] WARNING | Config option `kernel_spec_manager_class` not recognized by `NbConvertApp`.
[NbConvertApp] Converting notebook ../notebooks/Hyperparameter_Optimization_model_multi-class.ipynb to script
/projects/mlippincott@xsede.org/software/anaconda/envs/Interstellar/lib/python3.10/site-packages/nbformat/__init__.py:93: DuplicateCellId: Non-unique cell id '3e2c848c' detected. Corrected to 'b0bd2ebf'.
  validate(nb)
/projects/mlippincott@xsede.org/software/anaconda/envs/Interstellar/lib/python3.10/site-packages/nbformat/__init__.py:93: DuplicateCellId: Non-unique cell id '3c53f7e4' detected. Corrected to '9d8c6510'.
  validate(nb)
[NbConvertApp] Writing 14456 bytes to Hyperparameter_Optimization_model_multi-class.py
[NbConvertApp] Converting notebook ../notebooks/Hyperparameter_Optimization_model_regression.ipynb to script
/projects/mlippincott@xsede.org/software/anaconda/envs/Interstellar/lib/python3.10/site-packages/nbformat/__init__.py:93: DuplicateCellId: Non-unique cell id '3e2c848c' detected. Corrected to '150ec67d'.
  validate(nb)
/projects/mlippincott@xsede.org/software/anaconda/envs/Interstellar/lib/python3.10/site-packages/nbformat/__init__.py:93: DuplicateCellId: Non-unique cell id '3c53f7e4' detected. Corrected to 'f1037def'.
  validate(nb)
[NbConvertApp] Writing 12852 bytes to Hyperparameter_Optimization_model_regression.py
[NbConvertApp] Converting notebook ../notebooks/train_binary_model.ipynb to script
[NbConvertApp] Writing 19547 bytes to train_binary_model.py
cell_type: SHSY5Y control_name: LPS_100.000_DMSO_0.025 treatment_name: LPS_100.000_DMSO_0.025 shuffle: False
/gpfs/alpine1/scratch/mlippincott@xsede.org/Interstellar_Analysis/4.sc_Morphology_Neural_Network_MLP_Model/1.model_training/scripts/../../MLP_utils/utils.py:997: UserWarning: Ignoring `palette` because no `hue` variable has been assigned.
  sns.lineplot(x=df[x], y=df[y1], palette="blue", label="Train")
/gpfs/alpine1/scratch/mlippincott@xsede.org/Interstellar_Analysis/4.sc_Morphology_Neural_Network_MLP_Model/1.model_training/scripts/../../MLP_utils/utils.py:998: UserWarning: Ignoring `palette` because no `hue` variable has been assigned.
  sns.lineplot(x=df[x], y=df[y2], palette="orange", label="Validation")
CELL_TYPE: SHSY5Y
CONTROL_NAME: LPS_100.000_DMSO_0.025
TREATMENT_NAME: LPS_100.000_DMSO_0.025
SHUFFLE: False
False
Selected Catagories are:
['LPS_100.000_DMSO_0.025']
The dimensions of the data are: (15987, 1276)
Number of total missing values across all columns: 31974
Data Subset Is Off
Wells held out for testing: ['J20']
Wells to use for training, validation, and testing ['J16' 'J17' 'J21']
Number of in features:  1251
Number of out features:  1
Regression
RMSprop
Epoch 0: Validation loss decreased (inf --> 1.011519).  Saving model ...
Epoch 1: Validation loss decreased (1.011519 --> 1.005114).  Saving model ...
Epoch 2: Validation loss decreased (1.005114 --> 0.998935).  Saving model ...
Epoch 3: Validation loss decreased (0.998935 --> 0.992360).  Saving model ...
Epoch 4: Validation loss decreased (0.992360 --> 0.985947).  Saving model ...
Epoch 5: Validation loss decreased (0.985947 --> 0.979600).  Saving model ...
Epoch 6: Validation loss decreased (0.979600 --> 0.973454).  Saving model ...
Epoch 7: Validation loss decreased (0.973454 --> 0.967158).  Saving model ...
Epoch 8: Validation loss decreased (0.967158 --> 0.960919).  Saving model ...
Epoch 9: Validation loss decreased (0.960919 --> 0.954620).  Saving model ...
Epoch 10: Validation loss decreased (0.954620 --> 0.948307).  Saving model ...
Epoch 11: Validation loss decreased (0.948307 --> 0.942007).  Saving model ...
Epoch 12: Validation loss decreased (0.942007 --> 0.935522).  Saving model ...
Epoch 13: Validation loss decreased (0.935522 --> 0.929094).  Saving model ...
Epoch 14: Validation loss decreased (0.929094 --> 0.922630).  Saving model ...
Epoch 15: Validation loss decreased (0.922630 --> 0.916065).  Saving model ...
Epoch 16: Validation loss decreased (0.916065 --> 0.909425).  Saving model ...
Epoch 17: Validation loss decreased (0.909425 --> 0.902855).  Saving model ...
Epoch 18: Validation loss decreased (0.902855 --> 0.896257).  Saving model ...
Epoch 19: Validation loss decreased (0.896257 --> 0.889668).  Saving model ...
Epoch 20: Validation loss decreased (0.889668 --> 0.882971).  Saving model ...
Epoch 21: Validation loss decreased (0.882971 --> 0.876251).  Saving model ...
Epoch 22: Validation loss decreased (0.876251 --> 0.869525).  Saving model ...
Epoch 23: Validation loss decreased (0.869525 --> 0.862801).  Saving model ...
Epoch 24: Validation loss decreased (0.862801 --> 0.856028).  Saving model ...
Epoch 25: Validation loss decreased (0.856028 --> 0.849227).  Saving model ...
Epoch 26: Validation loss decreased (0.849227 --> 0.842388).  Saving model ...
Epoch 27: Validation loss decreased (0.842388 --> 0.835551).  Saving model ...
Epoch 28: Validation loss decreased (0.835551 --> 0.828680).  Saving model ...
Epoch 29: Validation loss decreased (0.828680 --> 0.821796).  Saving model ...
Epoch 30: Validation loss decreased (0.821796 --> 0.814821).  Saving model ...
Epoch 31: Validation loss decreased (0.814821 --> 0.807838).  Saving model ...
Epoch 32: Validation loss decreased (0.807838 --> 0.800830).  Saving model ...
Epoch 33: Validation loss decreased (0.800830 --> 0.793788).  Saving model ...
